iter	MultiClass
0	3.347018104
1	2.955806125
2	2.707298722
3	2.49328162
4	2.372797657
5	2.215674111
6	2.106084029
7	1.986092533
8	1.873674288
9	1.792573414
10	1.730401204
11	1.660470578
12	1.599023928
13	1.537750811
14	1.46454809
15	1.400288637
16	1.350269373
17	1.270057146
18	1.202602299
19	1.161175292
20	1.11954803
21	1.082214318
22	1.019106168
23	0.9769817004
24	0.9294841072
25	0.8841304907
26	0.8537745533
27	0.8188807637
28	0.7840226613
29	0.7571329128
30	0.7225952954
31	0.699706921
32	0.6834253154
33	0.6648814606
34	0.648049968
35	0.6248824244
36	0.6039600122
37	0.58622899
38	0.5667150945
39	0.5495048245
40	0.5299666553
41	0.5150137002
42	0.504182538
43	0.4895138057
44	0.4763836886
45	0.4646459971
46	0.4557519124
47	0.4456299541
48	0.4352798521
49	0.4236084678
50	0.417440834
51	0.4097019957
52	0.4043623332
53	0.3945142817
54	0.3877085753
55	0.3784244423
56	0.3713980395
57	0.3644384945
58	0.3593653401
59	0.3521022452
60	0.3475707861
61	0.341797294
62	0.3341190089
63	0.3296885717
64	0.3247645892
65	0.3223781418
66	0.3182328154
67	0.3147160525
68	0.308631648
69	0.3030984806
70	0.2977822235
71	0.2940538006
72	0.2880557869
73	0.2831426305
74	0.2792151718
75	0.2753117345
76	0.2708990603
77	0.2669796894
78	0.2635501463
79	0.2597942355
80	0.2576995971
81	0.2559988706
82	0.2524338825
83	0.2512296302
84	0.2505518427
85	0.248674478
86	0.2473455595
87	0.2409806857
88	0.2350648523
89	0.232465867
90	0.2305792088
91	0.2274408751
92	0.2269570352
93	0.2246563555
94	0.223639528
95	0.219303219
96	0.2185689489
97	0.2179522617
98	0.216006416
99	0.2153382613
100	0.2108019932
101	0.2073485833
102	0.206121614
103	0.2052481606
104	0.2031955196
105	0.2009897795
106	0.196868188
107	0.1960529002
108	0.1944045484
109	0.1916364438
110	0.1903664781
111	0.1870116952
112	0.1849853084
113	0.1849094705
114	0.1842295248
115	0.1822361449
116	0.180937145
117	0.1805017356
118	0.1800310566
119	0.1795649069
120	0.1781522823
121	0.1776269477
122	0.1775992459
